subjno,trialType,primeType,targetVerbType,confederateVerbTransitivity,confederateVerb,confederateAgent,confederateBeneficiary,confederateTheme,confederateAgentPos,confederateSentence,confederateImage,matcherArray1,matcherArray2,matcherArray3,matcherArray4,participantVerbTransitivity,participantVerb,participantAgent,participantBeneficiary,participantTheme,participantAgentPos,participantImage
E1N_16_1,filler,NA,NA,i,spies,golfer,NA,NA,R,E1N_16_the_golfer_spies,golfer_spies,golfer_yawns,chef_spies,golfer_spies,chef_yawns,i,shouts,soldier,NA,NA,L,soldier_shouts
E1N_16_1,filler,NA,NA,i,sings,soldier,NA,NA,R,E1N_16_the_soldier_sings,soldier_sings,pirate_sings,soldier_sings,soldier_spies,pirate_spies,m,buys,soldier,NA,hat,L,soldier_buys_hat
E1N_16_1,filler,NA,NA,i,ponders,prisoner,NA,NA,L,E1N_16_the_prisoner_ponders,prisoner_ponders,prisoner_ponders,wizard_spies,prisoner_spies,wizard_ponders,m,buys,cowboy,NA,vase,R,cowboy_buys_vase
E1N_16_1,critical,DO,DV,d,brings,wizard,pirate,hat,L,E1N_16_the_wizard_brings_the_pirate_the_hat,wizard_brings_pirate_hat,wizard_brings_pirate_hat,pirate_brings_wizard_hat,wizard_brings_pirate_cake,pirate_brings_wizard_cake,d,offers,golfer,knight,vase,R,golfer_offers_knight_vase
E1N_16_1,filler,NA,NA,i,spies,clown,NA,NA,R,E1N_16_the_clown_spies,clown_spies,clown_shouts,soldier_spies,clown_spies,soldier_shouts,m,holds,astronaut,NA,vase,R,astronaut_holds_vase
E1N_16_1,filler,NA,NA,m,stabs,astronaut,NA,book,R,E1N_16_the_astronaut_stabs_the_book,astronaut_stabs_book,golfer_stabs_book,golfer_stabs_vase,astronaut_stabs_vase,astronaut_stabs_book,m,catches,sailor,NA,vase,L,sailor_catches_vase
E1N_16_1,critical,DO,DV,d,gives,chef,astronaut,vase,R,E1N_16_the_chef_gives_the_astronaut_the_vase,chef_gives_astronaut_vase,prisoner_gives_chef_vase,astronaut_gives_chef_vase,chef_gives_prisoner_vase,chef_gives_astronaut_vase,d,brings,cowboy,chef,cup,L,cowboy_brings_chef_cup
E1N_16_1,filler,NA,NA,m,brushes,pirate,NA,cake,R,E1N_16_the_pirate_brushes_the_cake,pirate_brushes_cake,pirate_brushes_cake,pirate_pokes_cake,pirate_brushes_vase,pirate_pokes_vase,m,brushes,soldier,NA,hat,L,soldier_brushes_hat
E1N_16_1,filler,NA,NA,i,cries,golfer,NA,NA,R,E1N_16_the_golfer_cries,golfer_cries,soldier_spies,golfer_cries,soldier_cries,golfer_spies,i,sings,soldier,NA,NA,L,soldier_sings
E1N_16_1,filler,NA,NA,i,waves,artist,NA,NA,L,E1N_16_the_artist_waves,artist_waves,sailor_sings,artist_waves,artist_sings,sailor_waves,m,examines,artist,NA,book,R,artist_examines_book
E1N_16_1,filler,NA,NA,i,spies,prisoner,NA,NA,L,E1N_16_the_prisoner_spies,prisoner_spies,soldier_shouts,prisoner_shouts,soldier_spies,prisoner_spies,i,spies,astronaut,NA,NA,R,astronaut_spies
E1N_16_1,filler,NA,NA,d,serves,sailor,chef,apple,L,E1N_16_the_sailor_serves_the_chef_the_apple,sailor_serves_chef_apple,sailor_serves_chef_apple,chef_serves_sailor_apple,artist_serves_sailor_apple,sailor_serves_artist_apple,d,passes,pirate,artist,vase,R,pirate_passes_artist_vase
E1N_16_1,filler,NA,NA,d,serves,clown,golfer,apple,R,E1N_16_the_clown_serves_the_golfer_the_apple,clown_serves_golfer_apple,golfer_serves_clown_cup,clown_serves_golfer_apple,golfer_serves_clown_apple,clown_serves_golfer_cup,m,drops,astronaut,NA,apple,L,astronaut_drops_apple
E1N_16_1,critical,DO,SV,d,hands,knight,clown,vase,L,E1N_16_the_knight_hands_the_clown_the_vase,knight_hands_clown_vase,knight_hands_clown_cake,clown_hands_knight_cake,knight_hands_clown_vase,clown_hands_knight_vase,d,hands,prisoner,astronaut,hat,R,prisoner_hands_astronaut_hat
E1N_16_1,filler,NA,NA,i,shouts,clown,NA,NA,L,E1N_16_the_clown_shouts,clown_shouts,clown_points,clown_shouts,astronaut_shouts,astronaut_points,d,loans,knight,cowboy,cake,R,knight_loans_cowboy_cake
E1N_16_1,critical,PO,SV,d,offers,clown,wizard,cake,L,E1N_16_the_clown_offers_the_cake_to_the_wizard,clown_offers_wizard_cake,clown_offers_wizard_cake,wizard_offers_clown_hat,wizard_offers_clown_cake,clown_offers_wizard_hat,d,offers,prisoner,artist,cup,L,prisoner_offers_artist_cup
E1N_16_1,filler,NA,NA,m,catches,golfer,NA,vase,L,E1N_16_the_golfer_catches_the_vase,golfer_catches_vase,golfer_catches_cup,prisoner_catches_vase,golfer_catches_vase,prisoner_catches_cup,i,cries,knight,NA,NA,R,knight_cries
E1N_16_1,critical,DO,DV,d,hands,clown,cowboy,book,L,E1N_16_the_clown_hands_the_cowboy_the_book,clown_hands_cowboy_book,clown_hands_cowboy_vase,cowboy_hands_clown_vase,cowboy_hands_clown_book,clown_hands_cowboy_book,d,shows,knight,chef,hat,R,knight_shows_chef_hat
E1N_16_1,filler,NA,NA,m,buys,golfer,NA,book,L,E1N_16_the_golfer_buys_the_book,golfer_buys_book,golfer_buys_hat,golfer_buys_book,artist_buys_book,artist_buys_hat,i,cries,artist,NA,NA,R,artist_cries
E1N_16_1,critical,DO,DV,d,offers,soldier,golfer,cup,R,E1N_16_the_soldier_offers_the_golfer_the_cup,soldier_offers_golfer_cup,golfer_offers_soldier_cup,golfer_offers_soldier_apple,soldier_offers_golfer_apple,soldier_offers_golfer_cup,d,lends,pirate,knight,cake,R,pirate_lends_knight_cake
E1N_16_1,critical,PO,DV,d,gives,artist,pirate,book,R,E1N_16_the_artist_gives_the_book_to_the_pirate,artist_gives_pirate_book,artist_gives_pirate_book,pirate_gives_artist_book,pirate_gives_clown_book,clown_gives_pirate_book,d,lends,golfer,pirate,hat,R,golfer_lends_pirate_hat
E1N_16_1,critical,DO,SV,d,brings,prisoner,wizard,apple,R,E1N_16_the_prisoner_brings_the_wizard_the_apple,prisoner_brings_wizard_apple,prisoner_brings_wizard_apple,wizard_brings_prisoner_apple,prisoner_brings_chef_apple,chef_brings_prisoner_apple,d,brings,astronaut,artist,cup,L,astronaut_brings_artist_cup
E1N_16_1,filler,NA,NA,m,stabs,cowboy,NA,vase,R,E1N_16_the_cowboy_stabs_the_vase,cowboy_stabs_vase,cowboy_stabs_hat,astronaut_stabs_hat,astronaut_stabs_vase,cowboy_stabs_vase,m,catches,golfer,NA,vase,L,golfer_catches_vase
E1N_16_1,filler,NA,NA,m,drops,cowboy,NA,book,L,E1N_16_the_cowboy_drops_the_book,cowboy_drops_book,cowboy_drops_book,soldier_drops_cake,cowboy_drops_cake,soldier_drops_book,i,points,clown,NA,NA,L,clown_points
E1N_16_1,filler,NA,NA,m,catches,astronaut,NA,hat,L,E1N_16_the_astronaut_catches_the_hat,astronaut_catches_hat,cowboy_catches_hat,cowboy_catches_vase,astronaut_catches_hat,astronaut_catches_vase,i,cries,artist,NA,NA,R,artist_cries
E1N_16_1,critical,DO,DV,d,shows,prisoner,cowboy,cake,R,E1N_16_the_prisoner_shows_the_cowboy_the_cake,prisoner_shows_cowboy_cake,prisoner_shows_cowboy_cake,knight_shows_prisoner_cake,prisoner_shows_knight_cake,cowboy_shows_prisoner_cake,d,gives,artist,prisoner,apple,L,artist_gives_prisoner_apple
